,DATE,TOTAL_POPULATION
0,2004-01-01,292046
1,2004-02-01,292230
2,2004-03-01,292434
3,2004-04-01,292651
4,2004-05-01,292872
5,2004-06-01,293103
6,2004-07-01,293350
7,2004-08-01,293603
8,2004-09-01,293857
9,2004-10-01,294104
10,2004-11-01,294337
11,2004-12-01,294561
12,2005-01-01,294768
13,2005-02-01,294955
14,2005-03-01,295149
15,2005-04-01,295359
16,2005-05-01,295582
17,2005-06-01,295824
18,2005-07-01,296077
19,2005-08-01,296338
20,2005-09-01,296606
21,2005-10-01,296857
22,2005-11-01,297089
23,2005-12-01,297311
24,2006-01-01,297526
25,2006-02-01,297734
26,2006-03-01,297950
27,2006-04-01,298170
28,2006-05-01,298401
29,2006-06-01,298653
30,2006-07-01,298910
31,2006-08-01,299178
32,2006-09-01,299452
33,2006-10-01,299710
34,2006-11-01,299950
35,2006-12-01,300178
36,2007-01-01,300398
37,2007-02-01,300608
38,2007-03-01,300823
39,2007-04-01,301045
40,2007-05-01,301278
41,2007-06-01,301528
42,2007-07-01,301790
43,2007-08-01,302064
44,2007-09-01,302334
45,2007-10-01,302590
46,2007-11-01,302834
47,2007-12-01,303062
48,2008-01-01,303280
49,2008-02-01,303494
50,2008-03-01,303707
51,2008-04-01,303926
52,2008-05-01,304157
53,2008-06-01,304396
54,2008-07-01,304646
55,2008-08-01,304903
56,2008-09-01,305158
57,2008-10-01,305403
58,2008-11-01,305620
59,2008-12-01,305827
60,2009-01-01,306035
61,2009-02-01,306237
62,2009-03-01,306438
63,2009-04-01,306645
64,2009-05-01,306863
65,2009-06-01,307090
66,2009-07-01,307322
67,2009-08-01,307570
68,2009-09-01,307826
69,2009-10-01,308071
70,2009-11-01,308289
71,2009-12-01,308495
72,2010-01-01,308706
73,2010-02-01,308904
74,2010-03-01,309095
75,2010-04-01,309289
76,2010-05-01,309485
77,2010-06-01,309691
78,2010-07-01,309913
79,2010-08-01,310146
80,2010-09-01,310385
81,2010-10-01,310612
82,2010-11-01,310820
83,2010-12-01,311020
84,2011-01-01,311204
85,2011-02-01,311373
86,2011-03-01,311551
87,2011-04-01,311740
88,2011-05-01,311935
89,2011-06-01,312147
90,2011-07-01,312372
91,2011-08-01,312605
92,2011-09-01,312842
93,2011-10-01,313060
94,2011-11-01,313260
95,2011-12-01,313454
96,2012-01-01,313636
97,2012-02-01,313811
98,2012-03-01,313993
99,2012-04-01,314176
100,2012-05-01,314368
101,2012-06-01,314576
102,2012-07-01,314796
103,2012-08-01,315031
104,2012-09-01,315264
105,2012-10-01,315485
106,2012-11-01,315692
107,2012-12-01,315877
108,2013-01-01,316038
109,2013-02-01,316191
110,2013-03-01,316357
111,2013-04-01,316535
112,2013-05-01,316729
113,2013-06-01,316934
114,2013-07-01,317156
115,2013-08-01,317397
116,2013-09-01,317635
117,2013-10-01,317864
118,2013-11-01,318076
119,2013-12-01,318276
120,2014-01-01,318464
121,2014-02-01,318642
122,2014-03-01,318827
123,2014-04-01,319020
124,2014-05-01,319225
125,2014-06-01,319438
126,2014-07-01,319670
127,2014-08-01,319919
128,2014-09-01,320166
129,2014-10-01,320403
130,2014-11-01,320616
131,2014-12-01,320815
132,2015-01-01,320997
133,2015-02-01,321164
134,2015-03-01,321344
135,2015-04-01,321538
136,2015-05-01,321740
137,2015-06-01,321954
138,2015-07-01,322186
139,2015-08-01,322427
140,2015-09-01,322670
141,2015-10-01,322901
142,2015-11-01,323113
143,2015-12-01,323318
144,2016-01-01,323509
145,2016-02-01,323687
146,2016-03-01,323871
147,2016-04-01,324061
148,2016-05-01,324260
149,2016-06-01,324476
150,2016-07-01,324697
151,2016-08-01,324924
152,2016-09-01,325155
153,2016-10-01,325368
154,2016-11-01,325562
155,2016-12-01,325742
156,2017-01-01,325901
157,2017-02-01,326050
158,2017-03-01,326207
159,2017-04-01,326371
160,2017-05-01,326548
161,2017-06-01,326743
162,2017-07-01,326939
163,2017-08-01,327140
164,2017-09-01,327342
165,2017-10-01,327528
166,2017-11-01,327699
167,2017-12-01,327848
168,2018-01-01,327969
169,2018-02-01,328085
170,2018-03-01,328219
171,2018-04-01,328364
172,2018-05-01,328521
173,2018-06-01,328692
174,2018-07-01,328863
175,2018-08-01,329040
176,2018-09-01,329216
177,2018-10-01,329379
178,2018-11-01,329527
179,2018-12-01,329659
180,2019-01-01,329766
181,2019-02-01,329862
182,2019-03-01,329977
183,2019-04-01,330103
184,2019-05-01,330240
185,2019-06-01,330393
186,2019-07-01,330553
187,2019-08-01,330729
188,2019-09-01,330904
189,2019-10-01,331066
190,2019-11-01,331213
191,2019-12-01,331345
192,2020-01-01,331443
193,2020-02-01,331525
194,2020-03-01,331642
195,2020-04-01,331699
196,2020-05-01,331701
197,2020-06-01,331744
198,2020-07-01,331811
199,2020-08-01,331885
200,2020-09-01,331966
201,2020-10-01,332041
202,2020-11-01,332079
203,2020-12-01,332062
204,2021-01-01,332007
205,2021-02-01,331983
206,2021-03-01,332023
207,2021-04-01,332089
208,2021-05-01,332161
209,2021-06-01,332249
210,2021-07-01,332375
211,2021-08-01,332506
212,2021-09-01,332610
213,2021-10-01,332708
214,2021-11-01,332806
215,2021-12-01,332891
216,2022-01-01,332933
217,2022-02-01,332972
218,2022-03-01,333067
219,2022-04-01,333191
220,2022-05-01,333317
221,2022-06-01,333451
222,2022-07-01,333599
223,2022-08-01,333762
224,2022-09-01,333925
225,2022-10-01,334071
226,2022-11-01,334206
227,2022-12-01,334326
228,2023-01-01,334433
229,2023-02-01,334544
230,2023-03-01,334664
231,2023-04-01,334792
232,2023-05-01,334929
233,2023-06-01,335080
234,2023-07-01,335248
235,2023-08-01,335431
236,2023-09-01,335612
237,2023-10-01,335773
238,2023-11-01,335925
239,2023-12-01,336070
240,2024-01-01,336194
241,2024-02-01,336306
242,2024-03-01,336423
243,2024-04-01,336550
244,2024-05-01,336687
245,2024-06-01,336839
246,2024-07-01,337005
247,2024-08-01,337185
248,2024-09-01,337362
249,2024-10-01,337521
250,2024-11-01,337669
